sample population group sex
HG00096_1 GBR GBR 1
HG00096_2 GBR GBR 1
HG00097_1 GBR GBR 1
HG00097_2 GBR GBR 1
HG00099_1 GBR GBR 1
HG00099_2 GBR GBR 1
HG00100_1 GBR GBR 1
HG00100_2 GBR GBR 1
HG00101_1 GBR GBR 1
HG00101_2 GBR GBR 1
HG00102_1 GBR GBR 1
HG00102_2 GBR GBR 1
HG00103_1 GBR GBR 1
HG00103_2 GBR GBR 1
HG00105_1 GBR GBR 1
HG00105_2 GBR GBR 1
HG00106_1 GBR GBR 1
HG00106_2 GBR GBR 1
HG00107_1 GBR GBR 1
HG00107_2 GBR GBR 1
HG00108_1 GBR GBR 1
HG00108_2 GBR GBR 1
HG00109_1 GBR GBR 1
HG00109_2 GBR GBR 1
HG00110_1 GBR GBR 1
HG00110_2 GBR GBR 1
HG00111_1 GBR GBR 1
HG00111_2 GBR GBR 1
HG00112_1 GBR GBR 1
HG00112_2 GBR GBR 1
HG00113_1 GBR GBR 1
HG00113_2 GBR GBR 1
HG00114_1 GBR GBR 1
HG00114_2 GBR GBR 1
HG00115_1 GBR GBR 1
HG00115_2 GBR GBR 1
HG00116_1 GBR GBR 1
HG00116_2 GBR GBR 1
HG00117_1 GBR GBR 1
HG00117_2 GBR GBR 1
HG00118_1 GBR GBR 1
HG00118_2 GBR GBR 1
HG00119_1 GBR GBR 1
HG00119_2 GBR GBR 1
HG00120_1 GBR GBR 1
HG00120_2 GBR GBR 1
HG00121_1 GBR GBR 1
HG00121_2 GBR GBR 1
HG00122_1 GBR GBR 1
HG00122_2 GBR GBR 1
HG00123_1 GBR GBR 1
HG00123_2 GBR GBR 1
HG00125_1 GBR GBR 1
HG00125_2 GBR GBR 1
HG00126_1 GBR GBR 1
HG00126_2 GBR GBR 1
HG00127_1 GBR GBR 1
HG00127_2 GBR GBR 1
HG00128_1 GBR GBR 1
HG00128_2 GBR GBR 1
HG00129_1 GBR GBR 1
HG00129_2 GBR GBR 1
HG00130_1 GBR GBR 1
HG00130_2 GBR GBR 1
HG00131_1 GBR GBR 1
HG00131_2 GBR GBR 1
HG00132_1 GBR GBR 1
HG00132_2 GBR GBR 1
HG00133_1 GBR GBR 1
HG00133_2 GBR GBR 1
HG00136_1 GBR GBR 1
HG00136_2 GBR GBR 1
HG00137_1 GBR GBR 1
HG00137_2 GBR GBR 1
HG00138_1 GBR GBR 1
HG00138_2 GBR GBR 1
HG00139_1 GBR GBR 1
HG00139_2 GBR GBR 1
HG00140_1 GBR GBR 1
HG00140_2 GBR GBR 1
HG00141_1 GBR GBR 1
HG00141_2 GBR GBR 1
HG00142_1 GBR GBR 1
HG00142_2 GBR GBR 1
HG00143_1 GBR GBR 1
HG00143_2 GBR GBR 1
HG00145_1 GBR GBR 1
HG00145_2 GBR GBR 1
HG00146_1 GBR GBR 1
HG00146_2 GBR GBR 1
HG00148_1 GBR GBR 1
HG00148_2 GBR GBR 1
HG00149_1 GBR GBR 1
HG00149_2 GBR GBR 1
HG00150_1 GBR GBR 1
HG00150_2 GBR GBR 1
HG00151_1 GBR GBR 1
HG00151_2 GBR GBR 1
HG00154_1 GBR GBR 1
HG00154_2 GBR GBR 1
HG00155_1 GBR GBR 1
HG00155_2 GBR GBR 1
HG00157_1 GBR GBR 1
HG00157_2 GBR GBR 1
HG00158_1 GBR GBR 1
HG00158_2 GBR GBR 1
HG00159_1 GBR GBR 1
HG00159_2 GBR GBR 1
HG00160_1 GBR GBR 1
HG00160_2 GBR GBR 1
HG00171_1 FIN FIN 1
HG00171_2 FIN FIN 1
HG00173_1 FIN FIN 1
HG00173_2 FIN FIN 1
HG00174_1 FIN FIN 1
HG00174_2 FIN FIN 1
HG00176_1 FIN FIN 1
HG00176_2 FIN FIN 1
HG00177_1 FIN FIN 1
HG00177_2 FIN FIN 1
HG00178_1 FIN FIN 1
HG00178_2 FIN FIN 1
HG00179_1 FIN FIN 1
HG00179_2 FIN FIN 1
HG00180_1 FIN FIN 1
HG00180_2 FIN FIN 1
HG00181_1 FIN FIN 1
HG00181_2 FIN FIN 1
HG00182_1 FIN FIN 1
HG00182_2 FIN FIN 1
HG00183_1 FIN FIN 1
HG00183_2 FIN FIN 1
HG00185_1 FIN FIN 1
HG00185_2 FIN FIN 1
HG00186_1 FIN FIN 1
HG00186_2 FIN FIN 1
HG00187_1 FIN FIN 1
HG00187_2 FIN FIN 1
HG00188_1 FIN FIN 1
HG00188_2 FIN FIN 1
HG00189_1 FIN FIN 1
HG00189_2 FIN FIN 1
HG00190_1 FIN FIN 1
HG00190_2 FIN FIN 1
HG00231_1 GBR GBR 1
HG00231_2 GBR GBR 1
HG00232_1 GBR GBR 1
HG00232_2 GBR GBR 1
HG00233_1 GBR GBR 1
HG00233_2 GBR GBR 1
HG00234_1 GBR GBR 1
HG00234_2 GBR GBR 1
HG00235_1 GBR GBR 1
HG00235_2 GBR GBR 1
HG00236_1 GBR GBR 1
HG00236_2 GBR GBR 1
HG00237_1 GBR GBR 1
HG00237_2 GBR GBR 1
HG00238_1 GBR GBR 1
HG00238_2 GBR GBR 1
HG00239_1 GBR GBR 1
HG00239_2 GBR GBR 1
HG00240_1 GBR GBR 1
HG00240_2 GBR GBR 1
HG00242_1 GBR GBR 1
HG00242_2 GBR GBR 1
HG00243_1 GBR GBR 1
HG00243_2 GBR GBR 1
HG00244_1 GBR GBR 1
HG00244_2 GBR GBR 1
HG00245_1 GBR GBR 1
